num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( leftIsClear c) i( IFELSE c( markersPresent c) i( WHILE c( markersPresent c) w( move move w) WHILE c( frontIsClear c) w( pickMarker move w) i) ELSE e( WHILE c( frontIsClear c) w( turnRight w) e) i) m)
1909,0.25,DEF run m( WHILE c( frontIsClear c) w( move w) putMarker WHILE c( rightIsClear c) w( move turnRight move move w) IF c( markersPresent c) i( move turnLeft move i) IF c( frontIsClear c) i( move i) m)
6457,0.421875,DEF run m( move turnLeft REPEAT R=16 r( turnLeft IF c( leftIsClear c) i( move turnRight WHILE c( not c( leftIsClear c) c) w( putMarker turnLeft turnRight turnLeft turnLeft w) turnRight i) WHILE c( frontIsClear c) w( turnRight w) r) pickMarker m)
6458,0.453125,DEF run m( move turnLeft REPEAT R=16 r( turnLeft IF c( leftIsClear c) i( move turnRight WHILE c( not c( leftIsClear c) c) w( putMarker turnLeft turnRight turnLeft turnLeft w) turnRight i) WHILE c( frontIsClear c) w( turnRight w) r) turnRight m)
6487,0.5,DEF run m( move turnLeft REPEAT R=19 r( turnLeft IF c( leftIsClear c) i( move turnRight WHILE c( not c( leftIsClear c) c) w( putMarker turnLeft turnRight turnLeft turnLeft w) turnRight i) WHILE c( frontIsClear c) w( turnRight w) r) turnRight m)
7479,0.625,DEF run m( move move turnLeft REPEAT R=19 r( turnLeft IF c( leftIsClear c) i( move turnRight WHILE c( not c( leftIsClear c) c) w( putMarker turnRight turnRight move move turnRight w) turnRight i) WHILE c( frontIsClear c) w( turnRight w) r) turnRight m)
7543,0.6875,DEF run m( move move turnLeft REPEAT R=19 r( turnLeft IF c( leftIsClear c) i( move turnRight WHILE c( not c( leftIsClear c) c) w( putMarker turnRight turnRight move move move w) turnRight i) WHILE c( frontIsClear c) w( turnRight w) r) turnRight m)
7552,0.703125,DEF run m( move turnRight turnRight turnRight REPEAT R=19 r( turnLeft IF c( leftIsClear c) i( move turnRight WHILE c( not c( leftIsClear c) c) w( putMarker turnRight turnRight move move move w) turnRight i) WHILE c( frontIsClear c) w( turnRight w) r) turnRight m)
7678,0.71875,DEF run m( move turnRight turnLeft turnRight REPEAT R=19 r( turnLeft IF c( leftIsClear c) i( move turnRight WHILE c( not c( leftIsClear c) c) w( putMarker turnRight turnRight move move move w) turnRight i) WHILE c( frontIsClear c) w( turnRight w) r) turnRight m)
7726,0.75,DEF run m( move turnRight turnLeft turnRight REPEAT R=19 r( turnLeft IF c( frontIsClear c) i( move turnRight WHILE c( not c( leftIsClear c) c) w( putMarker turnRight turnRight move move move w) turnRight i) WHILE c( frontIsClear c) w( turnRight w) r) turnRight m)
10703,1.0,DEF run m( WHILE c( leftIsClear c) w( move IF c( not c( frontIsClear c) c) i( IF c( leftIsClear c) i( turnLeft putMarker move i) i) w) m)
